source,feature,category,useful_y_tasks,ambiguous_y_tasks,accel_useful,accel_ambiguous,n_useful_tasks,n_ambiguous_tasks,best_y_task,best_y_r2,best_y_corr,best_y_q,best_accel_r2,best_accel_auc,best_accel_q,max_n_obs,base_series,primary_transform,wrapper_stack,lag,transform_stack,base_series_total_features,base_series_interesting_features,base_series_ambiguous_features,base_series_non_interesting_features,base_series_all_non_interesting,base_series_any_interesting,recent_y_corr_60,recent_y_corr_120,recent_y_obs_60,recent_y_obs_120,recent_accel_auc_60,recent_accel_auc_120,recent_accel_obs_60,recent_accel_obs_120,recent_y_abs,accel_edge,recent_accel_edge,abs_best_y_corr,interesting_share,bundle_support,bundle_weak,y_full_rank,y_recent_rank,y_q_rank,accel_full_rank,accel_recent_rank,accel_q_rank,continuous_promise_score,acceleration_promise_score,primary_purpose,overall_promise_score,deep_dive_category,deep_dive_reason,final_category,final_reason,final_recent_y_weak,final_recent_accel_weak,final_recent_y_cutoff,final_recent_accel_cutoff,final_score_demote_cutoff
FRED_Employment_SA,total.private.services.trade_transportation_utilities.transportation_warehousing.water_rolling_std_6m_lag_12m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,-0.0036558834028559,0.0180044338701096,0.949024527140622,-6.126084595159399e-08,0.5028344671201814,0.9995950768609968,419,total.private.services.trade_transportation_utilities.transportation_warehousing.water,raw,rolling_std_6m,lag_12m,rolling_std_6m -> lag_12m,135,8,15,112,False,True,-0.0496248958043901,-0.0120808468746763,60,120,0.5350389321468298,0.5164071190211346,60,120,0.0496248958043901,0.0028344671201814,0.0350389321468298,0.0180044338701096,0.0592592592592592,False,True,0.0721276310497385,0.1081155056794854,0.0500067033114358,0.033181391607454,0.206948433866776,0.0034186888322831,0.1102992016224894,0.0880473158431825,y_mom,0.1102992016224894,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Exogenous,Credit_Spreads_acceleration_chg_12m,ambiguous,,sa_first_y_mom,False,False,0,1,nsa_revised_y_mom,-0.0012002474074011,0.0273057292103767,0.7439143438468102,-0.0050459230378723,0.5142857142857143,0.9994749754048412,338,Credit_Spreads_acceleration,chg_12m,none,none,chg_12m,55,5,25,25,False,True,,,22,22,,,24,24,,0.0142857142857143,,0.0273057292103767,0.0909090909090909,False,True,0.1166376189837779,,0.154980560396836,0.1655047593511194,,0.1470706529025338,0.1134830406220673,0.1038912722885105,y_mom,0.1134830406220673,still_ambiguous,middle_band_or_conflicting_evidence,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.goods.mining_logging.logging_lag_1m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,0.0002476763432246,0.0351801079185964,0.7481158838333647,-0.003736114337113,0.501978021978022,0.9994749754048412,673,total.private.goods.mining_logging.logging,raw,none,lag_1m,lag_1m,135,8,12,115,False,True,0.0305209976479394,0.0524996383835319,60,120,0.5228031145717463,0.528364849833148,60,120,0.0524996383835319,0.0019780219780219,0.028364849833148,0.0351801079185964,0.0592592592592592,False,True,0.1571256200563078,0.120090324346517,0.1525673682799303,0.0231934575680386,0.1419094515114211,0.1470706529025338,0.1732516162026055,0.0895194945151215,y_mom,0.1732516162026055,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.goods.mining_logging.logging_symlog_lag_1m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,0.0005655353907825,0.0403417136156058,0.6884537520143211,-0.0039084000020519,0.501978021978022,0.9994749754048412,673,total.private.goods.mining_logging.logging,symlog,none,lag_1m,symlog -> lag_1m,135,8,12,115,False,True,0.0305209976479394,0.0524996383835319,60,120,0.5228031145717463,0.528364849833148,60,120,0.0524996383835319,0.0019780219780219,0.028364849833148,0.0403417136156058,0.0592592592592592,False,True,0.1848773294007239,0.120090324346517,0.1800509451669124,0.0231934575680386,0.1419094515114211,0.1470706529025338,0.1912366007849892,0.0895194945151215,y_mom,0.1912366007849892,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.transportation_warehousing.pipeline_pct_chg_rolling_mean_3m_lag_12m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,0.0013185731824164,0.0500101973306843,0.7182130749022237,-0.0036939812467633,0.5302631578947369,0.9994749754048412,391,total.private.services.trade_transportation_utilities.transportation_warehousing.pipeline,pct_chg,rolling_mean_3m,lag_12m,pct_chg -> rolling_mean_3m -> lag_12m,135,0,33,102,False,False,0.0723266508356939,0.0188107586302215,60,120,0.5200222469410456,0.4961013645224172,60,120,0.0723266508356939,0.0302631578947368,0.0200222469410455,0.0500101973306843,0.0,False,True,0.2339455691111409,0.209114547693992,0.1655717924654779,0.3420029494570317,0.0776911503214334,0.1470706529025338,0.2415799562860062,0.2105073604486727,y_mom,0.1915799562860062,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.transportation_warehousing.water_symlog_rolling_std_6m_lag_12m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,-0.0023535628643756,0.0256401884200827,0.9014837514936416,-0.0001635901447551,0.514172335600907,0.9994749754048412,419,total.private.services.trade_transportation_utilities.transportation_warehousing.water,symlog,rolling_std_6m,lag_12m,symlog -> rolling_std_6m -> lag_12m,135,8,15,112,False,True,-0.0444012225618227,-0.0146990905523705,60,120,0.5417130144605117,0.5315628476084537,60,120,0.0444012225618227,0.014172335600907,0.0417130144605116,0.0256401884200827,0.0592592592592592,False,True,0.1079233141171738,0.0855344190502258,0.0745408231666443,0.1636948652634401,0.2810149090411708,0.1470706529025338,0.1234107026536361,0.2014320381134646,acceleration,0.2014320381134646,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Exogenous,Credit_Spreads_acceleration_rolling_mean_3m,ambiguous,,"nsa_first_y_mom,sa_first_y_mom",False,False,0,2,nsa_revised_y_mom,0.0026243543322124,0.0355211807398152,0.6531091561774599,-0.0114262958563295,0.5342857142857143,0.9994749754048412,349,Credit_Spreads_acceleration,raw,rolling_mean_3m,none,rolling_mean_3m,55,5,25,25,False,True,,,33,33,,,35,35,,0.0342857142857142,,0.0355211807398152,0.0909090909090909,False,True,0.1588684810296286,,0.1968092237565357,0.3869821691915806,,0.1470706529025338,0.17085266121464,0.203556106716718,acceleration,0.203556106716718,still_ambiguous,middle_band_or_conflicting_evidence,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.retail.gasoline_rolling_std_6m_lag_3m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,-0.0051004276509074,0.0251173853010532,0.9037191094190128,1.2058230326461585e-05,0.5303030303030304,0.9994749754048412,428,total.private.services.trade_transportation_utilities.retail.gasoline,raw,rolling_std_6m,lag_3m,rolling_std_6m -> lag_3m,135,11,38,86,False,True,0.036398999722145,-0.0599732271688139,60,120,0.5205784204671857,0.5013904338153503,60,120,0.0599732271688139,0.0303030303030303,0.0205784204671857,0.0251173853010532,0.0814814814814814,False,True,0.1056441882289851,0.1531408238675242,0.0737364257943423,0.3434106448585601,0.0810422650800164,0.1470706529025338,0.1458864582155452,0.2123137135448645,acceleration,0.2123137135448645,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.utilities_pct_chg_rolling_std_6m_lag_3m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,0.0004898735492648,0.0379784511571431,0.7188433169193718,0.0001601535063417,0.5347252747252748,0.9994749754048412,673,total.private.services.trade_transportation_utilities.utilities,pct_chg,rolling_std_6m,lag_3m,pct_chg -> rolling_std_6m -> lag_3m,135,1,20,114,False,True,0.0727424284523478,0.0664771849296377,60,120,0.5016685205784204,0.4844271412680756,60,120,0.0727424284523478,0.0347252747252747,0.0155728587319243,0.0379784511571431,0.0074074074074074,False,True,0.1712025740715913,0.2123990693855207,0.165437726236761,0.3911382222818072,0.0438380522500342,0.1470706529025338,0.2144683778645005,0.220769648894832,acceleration,0.220769648894832,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.leisure_hospitality.arts.performing_symlog_diff_lag_1m,ambiguous,,sa_first_y_mom,False,False,0,1,sa_revised_y_mom,0.0027013812934507,0.0404652398619249,0.6883561483900041,-0.0048683204373536,0.5173160173160173,0.9994749754048412,431,total.private.services.leisure_hospitality.arts.performing,symlog_diff,none,lag_1m,symlog_diff -> lag_1m,135,12,25,98,False,True,0.0720497930201171,0.0629512204897942,60,120,0.4771968854282536,0.468020022246941,60,120,0.0720497930201171,0.0173160173160172,0.0319799777530589,0.0404652398619249,0.0888888888888888,False,True,0.1860839254591768,0.2077459969891884,0.1801850113956294,0.1960718594985923,0.1744631377376556,0.1470706529025338,0.2224858676819714,0.1787085655630527,y_mom,0.2224858676819714,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.transportation_warehousing.scenic_pct_chg_zscore_12m_lag_3m,ambiguous,,,False,True,0,1,sa_first_y_mom,0.000610254129718,0.0381315139071976,0.8144389901778141,0.0220967455563226,0.5053158223889931,0.1917907272934759,402,total.private.services.trade_transportation_utilities.transportation_warehousing.scenic,pct_chg,zscore_12m,lag_3m,pct_chg -> zscore_12m -> lag_3m,135,2,17,116,False,True,-0.0162267296471242,-0.0716546547755472,60,120,0.5116796440489433,0.5211345939933258,60,120,0.0716546547755472,0.005315822388993,0.0211345939933258,0.0381315139071976,0.0148148148148148,False,True,0.1722751039013272,0.2059668810729437,0.1211958707601554,0.0603298029226437,0.0845985501299411,0.8836975465880145,0.2038513792831586,0.233497413178272,acceleration,0.233497413178272,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.government.federal_pct_chg_rolling_std_6m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,0.0025666934558256,0.0623384076483635,0.4335920688150496,-0.0098379283644975,0.5037362637362638,0.9994749754048412,673,total.government.federal,pct_chg,rolling_std_6m,none,pct_chg -> rolling_std_6m,135,1,9,125,False,True,0.0038899694359544,-0.0205710158416119,60,120,0.4805339265850946,0.4938820912124583,60,120,0.0205710158416119,0.0037362637362637,0.0194660734149053,0.0623384076483635,0.0074074074074074,False,True,0.300978683469634,0.0239496373340632,0.305469902131653,0.0423649282745676,0.072630283135002,0.1470706529025338,0.234916761054588,0.0738989474013129,y_mom,0.234916761054588,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.leisure_hospitality.arts.performing_diff_zscore_12m_lag_1m,ambiguous,,sa_first_y_mom,False,False,0,1,sa_revised_y_mom,0.0015496816790474,0.035710977863399,0.7379356086721027,0.001548344433444,0.5033222591362126,0.9759534486464032,426,total.private.services.leisure_hospitality.arts.performing,diff,zscore_12m,lag_1m,diff -> zscore_12m -> lag_1m,135,12,25,98,False,True,0.0932785018004371,0.0826929288130775,60,120,0.5139043381535039,0.4621802002224694,60,120,0.0932785018004371,0.0033222591362126,0.0378197997775305,0.035710977863399,0.0888888888888888,False,True,0.1599410108593645,0.3125769809771452,0.1575278187424588,0.0389462394422844,0.2361510053344275,0.3842338115028824,0.2428809619772066,0.1770254219166541,y_mom,0.2428809619772066,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.retail.gasoline_chg_6m_lag_6m,ambiguous,,sa_first_y_mom,False,False,0,1,sa_revised_y_mom,0.0006172247699615,0.0287198370510768,0.8057353939714534,0.005711152795538,0.514172335600907,0.8559972998065337,421,total.private.services.trade_transportation_utilities.retail.gasoline,chg_6m,none,lag_6m,chg_6m -> lag_6m,135,11,38,86,False,True,-0.08208177613085,-0.02632086136211,60,120,0.4805339265850945,0.532119021134594,60,120,0.08208177613085,0.014172335600907,0.0321190211345939,0.0287198370510768,0.0814814814814814,False,True,0.1233409304196272,0.2552347064458738,0.1242793940206462,0.1636948652634401,0.1753522090001368,0.5553023193457568,0.1996914447490173,0.2460964263877472,acceleration,0.2460964263877472,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.transportation_warehousing.transit_symlog_chg_6m_lag_12m,ambiguous,,,False,True,0,1,sa_revised_y_mom,0.0051066227701095,0.0564762723286755,0.5310916945721844,0.0124776702098439,0.5023228803716608,0.4259605313920608,415,total.private.services.trade_transportation_utilities.transportation_warehousing.transit,symlog_chg_6m,none,lag_12m,symlog_chg_6m -> lag_12m,135,8,40,87,False,True,0.0355664230874469,-0.0660105775756011,60,120,0.5050055617352615,0.4666295884315907,60,120,0.0660105775756011,0.0023228803716608,0.0333704115684093,0.0564762723286755,0.0592592592592592,False,True,0.271618179380614,0.1818803886684001,0.2557983643920096,0.0276846762300576,0.1891670086171522,0.7447379005228583,0.2670459896336183,0.2276141374241008,y_mom,0.2670459896336183,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Exogenous,Credit_Spreads_acceleration_diff_zscore_3m_lag_3m,ambiguous,,nsa_first_y_mom,False,False,0,1,nsa_first_y_mom,0.0202271823110563,0.0742299677983455,0.2972929478421768,-0.0078657701774664,0.5428571428571428,0.9994749754048412,345,Credit_Spreads_acceleration,diff,zscore_3m,lag_3m,diff -> zscore_3m -> lag_3m,55,5,25,25,False,True,,,29,29,,,31,31,,0.0428571428571428,,0.0742299677983455,0.0909090909090909,False,True,0.3698887250301649,,0.368548062742995,0.4717120257407159,,0.1470706529025338,0.2701595388121732,0.2416845421638289,y_mom,0.2701595388121732,still_ambiguous,middle_band_or_conflicting_evidence,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.leisure_hospitality.arts.performing_diff_lag_1m,ambiguous,,sa_first_y_mom,False,False,0,1,sa_revised_y_mom,0.0030292345214528,0.0396875216046814,0.6950393371694322,-0.0049628808101318,0.5243506493506493,0.9994749754048412,431,total.private.services.leisure_hospitality.arts.performing,diff,none,lag_1m,diff -> lag_1m,135,12,25,98,False,True,0.0949344225853062,0.0840932610424313,60,120,0.4872080088987764,0.4528642936596218,60,120,0.0949344225853062,0.0243506493506493,0.0471357063403781,0.0396875216046814,0.0888888888888888,False,True,0.1815256736827993,0.3201040098535651,0.1754926933905349,0.2771819278723689,0.3336068937217891,0.1470706529025338,0.2588214952841144,0.270908410925699,acceleration,0.270908410925699,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.services.trade_transportation_utilities.transportation_warehousing.rail_symlog_chg_6m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,0.0007735722818494,0.046283070424355,0.6173574879036652,-0.0007822574027696,0.5124175824175824,0.9994749754048412,673,total.private.services.trade_transportation_utilities.transportation_warehousing.rail,symlog_chg_6m,none,none,symlog_chg_6m,135,3,10,122,False,True,0.0471287846281646,0.0892714519137238,60,120,0.5266963292547274,0.4948553948832035,60,120,0.0892714519137238,0.0124175824175823,0.0266963292547274,0.046283070424355,0.0222222222222222,False,True,0.2159806944630647,0.2924592856165321,0.2119587076015552,0.1421102024400053,0.126590069757899,0.1470706529025338,0.2719438039944764,0.1376702460937738,y_mom,0.2719438039944764,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Employment_SA,total.private.goods.mining_logging.logging_rolling_mean_3m_lag_12m,ambiguous,,sa_revised_y_mom,False,False,0,1,sa_first_y_mom,0.0022826807976848,0.0650097081276315,0.4021044080796309,0.0005101414895013,0.5408791208791208,0.9994749754048412,673,total.private.goods.mining_logging.logging,raw,rolling_mean_3m,lag_12m,rolling_mean_3m -> lag_12m,135,8,12,115,False,True,-0.0440843359321048,0.0439658203480282,60,120,0.5278086763070078,0.4862347052280311,60,120,0.0440843359321048,0.0408791208791208,0.0278086763070077,0.0650097081276315,0.0592592592592592,False,True,0.3163962997720874,0.0843027234159025,0.3220270813782008,0.4505965947177905,0.1343865408288879,0.1470706529025338,0.2662897043686454,0.2792178874936233,acceleration,0.2792178874936233,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Exogenous,Credit_Spreads_acceleration_zscore_12m,ambiguous,,sa_first_y_mom,False,False,0,1,nsa_revised_y_mom,0.0061281473385396,0.0784159045590665,0.2486273893259749,-0.0346944425103143,0.5117647058823529,0.602197505926645,345,Credit_Spreads_acceleration,raw,zscore_12m,none,zscore_12m,55,5,25,25,False,True,,,29,29,,,31,31,,0.0117647058823529,,0.0784159045590665,0.0909090909090909,False,True,0.3912052553961657,,0.3925459176833356,0.135138758546722,,0.6913795414934978,0.2845515484649417,0.1990883496447245,y_mom,0.2845515484649417,still_ambiguous,middle_band_or_conflicting_evidence,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
FRED_Exogenous,SP500_worst_day_diff_lag_3m,ambiguous,,nsa_revised_y_mom,False,False,0,1,sa_revised_y_mom,0.0035054072423758,0.0541542687870125,0.403326397645581,-0.0037522663150126,0.5250836120401339,0.8715404508102325,670,SP500_worst_day,diff,none,lag_3m,diff -> lag_3m,80,7,17,56,False,True,0.0434021506739001,0.0244331855343221,60,120,0.46875,0.4983314794215795,60,120,0.0434021506739001,0.0250836120401338,0.03125,0.0541542687870125,0.0875,False,True,0.2579434240514814,0.0821130422882167,0.3207534522053894,0.2844885373374447,0.1685131992887429,0.5368682128971711,0.2389647960651204,0.2943731041323444,acceleration,0.2943731041323444,demote_unlikely,low_rank_and_weak_bundle,demote_unlikely,demote_low_score_weak_bundle_weak_recent_windows,True,True,0.10119584588784625,0.0483870967741936,0.5
